City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Wewak,PG,2021-10-07 22:42:03,-3.5534,143.6268,80.92,81,75,8.19
147,Nadym,RU,2021-10-07 22:42:03,65.5333,72.5167,44.47,86,100,16.78
148,Sembe,CG,2021-10-07 22:42:04,1.6481,14.5806,71.11,97,69,2.01
149,Sao Joao Da Barra,BR,2021-10-07 22:32:14,-21.6403,-41.0511,71.69,89,97,17.43
150,Eskil,TR,2021-10-07 22:42:05,38.4017,33.4131,52.61,49,0,1.77
151,Huarmey,PE,2021-10-07 22:42:05,-10.0681,-78.1522,64.98,84,42,13.18
152,College,US,2021-10-07 22:42:06,64.8569,-147.8028,39.58,95,90,6.91
153,Sivaki,RU,2021-10-07 22:42:08,52.6333,126.75,31.87,88,12,4.76
154,Whitianga,NZ,2021-10-07 22:38:48,-36.8333,175.7,64.08,68,93,13.42
155,Harper,LR,2021-10-07 22:42:09,4.375,-7.7169,77.43,86,96,7.81
156,Waingapu,ID,2021-10-07 22:42:10,-9.6567,120.2641,78.66,73,58,2.82
157,Hoa Binh,VN,2021-10-07 22:42:10,20.8133,105.3383,82.29,83,71,3.8
158,Rio Gallegos,AR,2021-10-07 22:39:54,-51.6226,-69.2181,51.85,40,0,24.16
159,Sherbakul,RU,2021-10-07 22:42:11,54.6316,72.3963,33.48,84,55,8.1
160,Narsaq,GL,2021-10-07 22:42:11,60.9167,-46.05,44.82,54,49,7.05
161,Saint-Joseph,RE,2021-10-07 22:42:12,-21.3667,55.6167,64.78,79,58,5.32
162,Luderitz,NA,2021-10-07 22:42:12,-26.6481,15.1594,56.43,78,3,5.82
163,Shingu,JP,2021-10-07 22:42:13,33.7333,135.9833,72.37,82,95,2.77
164,Ambilobe,MG,2021-10-07 22:42:13,-13.2,49.05,72.5,80,84,3.85
165,Brae,GB,2021-10-07 22:42:13,60.3964,-1.353,55.31,98,100,14.79
166,Neuquen,AR,2021-10-07 22:39:14,-38.9516,-68.0591,69.69,24,0,8.05
167,Carnarvon,AU,2021-10-07 22:42:14,-24.8667,113.6333,60.87,72,0,14.97
168,Gagra,GE,2021-10-07 22:42:14,43.3283,40.2239,55.67,62,2,5.88
169,Roebourne,AU,2021-10-07 22:37:18,-20.7833,117.1333,74.82,56,0,3.15
170,Karasjok,NO,2021-10-07 22:42:15,69.4719,25.5112,37.51,83,76,12.5
171,Vila Franca Do Campo,PT,2021-10-07 22:42:15,37.7167,-25.4333,70.2,89,91,6.24
172,Bandarbeyla,SO,2021-10-07 22:42:16,9.4942,50.8122,77.79,82,55,17.43
173,Saint-Pierre,RE,2021-10-07 22:42:16,-21.3393,55.4781,65.88,73,0,8.05
174,Wonthaggi,AU,2021-10-07 22:42:17,-38.6044,145.5913,58.19,67,67,10.31
175,Daraitan,PH,2021-10-07 22:42:17,14.6028,121.4319,78.48,87,100,1.3
176,Komsomolskiy,UZ,2021-10-07 22:32:35,40.4272,71.7189,53.02,81,95,0.0
177,Thaba-Tseka,LS,2021-10-07 22:42:18,-29.522,28.6084,51.98,76,100,5.73
178,Alyangula,AU,2021-10-07 22:42:20,-13.8483,136.4192,78.67,89,99,0.0
179,Saskylakh,RU,2021-10-07 22:42:21,71.9167,114.0833,-1.89,99,24,3.78
180,Dalbandin,PK,2021-10-07 22:42:22,28.8947,64.4101,72.66,13,0,6.64
181,San Cristobal,VE,2021-10-07 22:42:22,7.7669,-72.225,80.78,90,100,2.8
182,Bathsheba,BB,2021-10-07 22:42:23,13.2167,-59.5167,81.21,89,75,20.71
183,Ahipara,NZ,2021-10-07 22:42:24,-35.1667,173.1667,61.93,73,8,11.05
184,Buin,CL,2021-10-07 22:42:25,-33.7333,-70.75,70.12,55,0,4.54
185,Longyearbyen,SJ,2021-10-07 22:42:26,78.2186,15.6401,21.04,79,0,6.91
186,Yeppoon,AU,2021-10-07 22:42:26,-23.1333,150.7333,74.98,57,22,8.72
187,Paamiut,GL,2021-10-07 22:42:27,61.994,-49.6678,36.3,69,0,11.54
188,Belmonte,BR,2021-10-07 22:42:28,-15.8631,-38.8828,77.5,85,20,9.44
189,Kushiro,JP,2021-10-07 22:42:29,42.975,144.3747,50.95,87,75,5.75
190,Kiama,AU,2021-10-07 22:42:30,-34.6833,150.8667,64.38,67,88,6.15
191,Rome,US,2021-10-07 22:38:34,34.257,-85.1647,77.22,87,54,5.23
192,Chapais,CA,2021-10-07 22:42:31,49.7834,-74.8492,64.18,83,46,4.92
193,Shahr-E Kord,IR,2021-10-07 22:42:32,32.3256,50.8644,51.57,35,0,6.91
194,Shitkino,RU,2021-10-07 22:42:32,56.3703,98.3543,35.02,97,100,10.22
195,Touros,BR,2021-10-07 22:42:33,-5.1989,-35.4608,81.5,81,76,15.21
196,Kodinsk,RU,2021-10-07 22:42:36,58.6881,99.1844,33.51,98,100,5.79
197,Olinda,BR,2021-10-07 22:42:38,-8.0089,-34.8553,80.33,74,75,11.5
198,Broome,US,2021-10-07 22:42:39,42.2506,-75.833,70.84,73,90,1.01
199,Pasvalys,LT,2021-10-07 22:42:40,56.0594,24.4036,38.52,70,39,7.34
200,Torbay,CA,2021-10-07 22:44:12,47.6666,-52.7314,49.28,72,75,4.61
201,Sioux Lookout,CA,2021-10-07 22:42:16,50.1001,-91.917,71.98,64,75,5.75
202,Alofi,NU,2021-10-07 22:44:14,-19.0595,-169.9187,84.09,70,83,9.22
203,Terre-De-Bas,GP,2021-10-07 22:44:18,15.8501,-61.6442,82.18,78,6,20.98
204,Nantucket,US,2021-10-07 22:40:13,41.2835,-70.0995,66.54,81,1,5.75
